#
# Current Ver: $Revision$
# Last Editor: $Author$
# Last Edited: $Date$
#
# Rules for migrating characters from old data to new.
#

# Examples
# SOURCE:JDTEST	NEWKEY:Paizo - Pathfinder Roleplaying Game Core Rulebook	MAXVER:6.0.0	MAXDEVVER:6.1.1
# EQUIPMENT:JDTEST	NEWKEY:Outfit (Explorer's)	MAXVER:6.0.01	MAXDEVVER:6.1.2
#EQUIPMENT:Kasari Gusoku		NEWKEY:Kusari Gusoku	MAXVER:6.1.8
#ABILITY:Archetype|Fighter Archetype ~ Aldori Sworldlord	NEWKEY:Fighter Archetype ~ Aldori Swordlord	MAXVER:6.00.01	MAXDEVVER:6.01.08

	
#ABILITY:Special Ability|Barbarian Fast Movement	NEWKEY:Barbarian ~ Fast Movement	MAXVER:6.4.0

#ABILITY:Special Ability|Barbarian DR	NEWKEY:Barbarian ~ Damage Reduction	MAXVER:6.4.0

#35e Game MODE




































### 6.0
#ABILITY:Special Ability|Rage ~ Wolverine				
#ABILITY:Special Ability|Skills ~ Wolverine				
#ABILITY:Special Ability|Breath Fire ~ Hydra	
#ABILITY:Special Ability|Breath Frost ~ Hydra	
#ABILITY:Special Ability|Burst ~ Xeph		
#ABILITY:Special Ability|Dominate ~ Vampire	
#ABILITY:Special Ability|Paralyzing Touch ~ Lich	
#ABILITY:Special Ability|#Stench ~ Troglodyte	
#ABILITY:Special Ability|Touch Attack ~ Lich	

ABILITY:Special Ability|Feeble ~ Flaw			MAXVER:6.4.00	NEWKEY:Flaw ~ Feeble			
ABILITY:Special Ability|Frail ~ Flaw			MAXVER:6.4.00	NEWKEY:Flaw ~ Frail			
ABILITY:Special Ability|Inattentive ~ Flaw		MAXVER:6.4.00	NEWKEY:Flaw ~ Inattentive		
ABILITY:Special Ability|Meager Fortitude ~ Flaw		MAXVER:6.4.00	NEWKEY:Flaw ~ Meager Fortitude	
ABILITY:Special Ability|Murky-Eyed ~ Flaw			MAXVER:6.4.00	NEWKEY:Flaw ~ Murky-Eyed		
ABILITY:Special Ability|Noncombatant ~ Flaw		MAXVER:6.4.00	NEWKEY:Flaw ~ Noncombatant		
ABILITY:Special Ability|Pathetic ~ Flaw			MAXVER:6.4.00	NEWKEY:Flaw ~ Pathetic		
ABILITY:Special Ability|Poor Reflexes ~ Flaw		MAXVER:6.4.00	NEWKEY:Flaw ~ Poor Reflexes	
ABILITY:Special Ability|Shaky ~ Flaw			MAXVER:6.4.00	NEWKEY:Flaw ~ Shaky			
ABILITY:Special Ability|Slow ~ Flaw				MAXVER:6.4.00	NEWKEY:Flaw ~ Slow			
ABILITY:Special Ability|Unreactive ~ Flaw			MAXVER:6.4.00	NEWKEY:Flaw ~ Unreactive		
ABILITY:Special Ability|Vulnerable ~ Flaw			MAXVER:6.4.00	NEWKEY:Flaw ~ Vulnerable		
ABILITY:Special Ability|Weak Will ~ Flaw			MAXVER:6.4.00	NEWKEY:Flaw ~ Weak Will		
ABILITY:Special Ability|Abrasive ~ Trait			MAXVER:6.4.00	NEWKEY:Trait ~ Abrasive				
ABILITY:Special Ability|Absent-Minded ~ Trait		MAXVER:6.4.00	NEWKEY:Trait ~ Absent-Minded			
ABILITY:Special Ability|Aggressive ~ Trait		MAXVER:6.4.00	NEWKEY:Trait ~ Aggressive					
ABILITY:Special Ability|Brawler ~ Trait			MAXVER:6.4.00	NEWKEY:Trait ~ Brawler				
ABILITY:Special Ability|Cautious ~ Trait			MAXVER:6.4.00	NEWKEY:Trait ~ Cautious				
ABILITY:Special Ability|Detached ~ Trait			MAXVER:6.4.00	NEWKEY:Trait ~ Detached				
ABILITY:Special Ability|Dishonest ~ Trait			MAXVER:6.4.00	NEWKEY:Trait ~ Dishonest				
ABILITY:Special Ability|Distinctive ~ Trait		MAXVER:6.4.00	NEWKEY:Trait ~ Distinctive					
ABILITY:Special Ability|Easygoing ~ Trait			MAXVER:6.4.00	NEWKEY:Trait ~ Easygoing				
ABILITY:Special Ability|Farsighted ~ Trait		MAXVER:6.4.00	NEWKEY:Trait ~ Farsighted					
ABILITY:Special Ability|Focused ~ Trait			MAXVER:6.4.00	NEWKEY:Trait ~ Focused				
ABILITY:Special Ability|Hard of Hearing ~ Trait		MAXVER:6.4.00	NEWKEY:Trait ~ Hard of Hearing			
ABILITY:Special Ability|Hardy ~ Trait			MAXVER:6.4.00	NEWKEY:Trait ~ Hardy						
ABILITY:Special Ability|Honest ~ Trait			MAXVER:6.4.00	NEWKEY:Trait ~ Honest				
ABILITY:Special Ability|Illiterate ~ Trait		MAXVER:6.4.00	NEWKEY:Trait ~ Illiterate					
ABILITY:Special Ability|Inattentive ~ Trait		MAXVER:6.4.00	NEWKEY:Trait ~ Inattentive					
ABILITY:Special Ability|Musclebound ~ Trait		MAXVER:6.4.00	NEWKEY:Trait ~ Musclebound					
ABILITY:Special Ability|Nearsighted ~ Trait		MAXVER:6.4.00	NEWKEY:Trait ~ Nearsighted					
ABILITY:Special Ability|Nightsighted ~ Trait		MAXVER:6.4.00	NEWKEY:Trait ~ Nightsighted			
ABILITY:Special Ability|Passionate ~ Trait		MAXVER:6.4.00	NEWKEY:Trait ~ Passionate					
ABILITY:Special Ability|Plucky ~ Trait			MAXVER:6.4.00	NEWKEY:Trait ~ Plucky				
ABILITY:Special Ability|Polite ~ Trait			MAXVER:6.4.00	NEWKEY:Trait ~ Polite				
ABILITY:Special Ability|Quick ~ Trait			MAXVER:6.4.00	NEWKEY:Trait ~ Quick						
ABILITY:Special Ability|Reckless ~ Trait			MAXVER:6.4.00	NEWKEY:Trait ~ Reckless				
ABILITY:Special Ability|Relentless ~ Trait		MAXVER:6.4.00	NEWKEY:Trait ~ Relentless					
ABILITY:Special Ability|Saddleborn ~ Trait		MAXVER:6.4.00	NEWKEY:Trait ~ Saddleborn					
ABILITY:Special Ability|Skinny ~ Trait			MAXVER:6.4.00	NEWKEY:Trait ~ Skinny				
ABILITY:Special Ability|Slippery ~ Trait			MAXVER:6.4.00	NEWKEY:Trait ~ Slippery				
ABILITY:Special Ability|Slow ~ Trait			MAXVER:6.4.00	NEWKEY:Trait ~ Slow						
ABILITY:Special Ability|Specialized ~ Craft ~ Trait		MAXVER:6.4.00	NEWKEY:Trait ~ Specialized (Craft)		
ABILITY:Special Ability|Specialized ~ Knowledge ~ Trait	MAXVER:6.4.00	NEWKEY:Trait ~ Specialized (Knowledge)			
ABILITY:Special Ability|Specialized ~ Profession ~ Trait	MAXVER:6.4.00	NEWKEY:Trait ~ Specialized (Profession)	
ABILITY:Special Ability|Spellgifted ~ Trait			MAXVER:6.4.00	NEWKEY:Trait ~ Spellgifted					
ABILITY:Special Ability|Stout ~ Trait			MAXVER:6.4.00	NEWKEY:Trait ~ Stout						
ABILITY:Special Ability|Suspicious ~ Trait		MAXVER:6.4.00	NEWKEY:Trait ~ Suspicious					
ABILITY:Special Ability|Torpid ~ Trait			MAXVER:6.4.00	NEWKEY:Trait ~ Torpid				
ABILITY:Special Ability|Uncivilized ~ Trait		MAXVER:6.4.00	NEWKEY:Trait ~ Uncivilized					
ABILITY:FEAT|Blind Fight	MAXVER:6.4.00	NEWKEY:Blind-Fight
